Endpoint,readTimestamp,rssi,tagMac
11d84850-5ace-11e9-ac13-001d054d25e2,2019-11-07T18-12-12.647-0500,-64,0x5f8d4a
11d84850-5ace-11e9-ac13-001d054d25e2,2019-11-07T18-12-12.647-0500,-58,0x5f8d9d
11d84850-5ace-11e9-ac13-001d054d25e2,2019-11-07T18-12-12.647-0500,-55,0x5f8d4b
11d84850-5ace-11e9-ac13-001d054d25e2,2019-11-07T18-12-12.647-0500,-60,0x5f8d48
11d84850-5ace-11e9-ac13-001d054d25e2,2019-11-07T18-12-12.647-0500,-55,0x5f8d49
11d84850-5ace-11e9-ac13-001d054d25e2,2019-11-07T18-12-12.647-0500,-65,0x5f8da0
11d84850-5ace-11e9-ac13-001d054d25e2,2019-11-07T18-12-12.647-0500,-64,0x5f8d53
11d84850-5ace-11e9-ac13-001d054d25e2,2019-11-07T18-12-12.647-0500,-59,0x5f8d51
fea38b1e-5acd-11e9-9475-001d054d25e2,2019-11-07T18-12-12.916-0500,-59,0x5f8e3a
05214ee0-5ace-11e9-87c5-001d054d25e2,2019-11-07T18-12-12.912-0500,-62,0x5f8d55
05214ee0-5ace-11e9-87c5-001d054d25e2,2019-11-07T18-12-12.912-0500,-65,0x5f8d50
05214ee0-5ace-11e9-87c5-001d054d25e2,2019-11-07T18-12-12.912-0500,-63,0x5f8d9d
05214ee0-5ace-11e9-87c5-001d054d25e2,2019-11-07T18-12-12.912-0500,-64,0x5f8d4e
05214ee0-5ace-11e9-87c5-001d054d25e2,2019-11-07T18-12-12.912-0500,-61,0x5f8d4f
05214ee0-5ace-11e9-87c5-001d054d25e2,2019-11-07T18-12-12.912-0500,-65,0x5f8d4d
05214ee0-5ace-11e9-87c5-001d054d25e2,2019-11-07T18-12-12.912-0500,-65,0x5f8d52
6f770b36-6519-11e9-9b11-001d054d25e2,2019-11-07T18-12-13.571-0500,-63,0x5f8e58
74456644-5ace-11e9-83b9-001d054d25e2,2019-11-07T18-12-12.941-0500,-65,0x5f8da5
74456644-5ace-11e9-83b9-001d054d25e2,2019-11-07T18-12-12.941-0500,-65,0x5f8d4b
74456644-5ace-11e9-83b9-001d054d25e2,2019-11-07T18-12-12.941-0500,-62,0x5f8d44
74456644-5ace-11e9-83b9-001d054d25e2,2019-11-07T18-12-12.941-0500,-65,0x5f8d48
74456644-5ace-11e9-83b9-001d054d25e2,2019-11-07T18-12-12.941-0500,-65,0x5f8da0
74456644-5ace-11e9-83b9-001d054d25e2,2019-11-07T18-12-12.941-0500,-61,0x5f8d47
74456644-5ace-11e9-83b9-001d054d25e2,2019-11-07T18-12-12.941-0500,-65,0x5f8d9a
74456644-5ace-11e9-83b9-001d054d25e2,2019-11-07T18-12-12.941-0500,-64,0x5f8da1
74456644-5ace-11e9-83b9-001d054d25e2,2019-11-07T18-12-12.941-0500,-63,0x5f8d98
48067a00-6519-11e9-9afd-001d054d25e2,2019-11-07T18-12-13.377-0500,-60,0x5f8e3b
48067a00-6519-11e9-9afd-001d054d25e2,2019-11-07T18-12-13.377-0500,-56,0x5f8e3a
48067a00-6519-11e9-9afd-001d054d25e2,2019-11-07T18-12-13.377-0500,-59,0x5f8e39
48067a00-6519-11e9-9afd-001d054d25e2,2019-11-07T18-12-13.377-0500,-58,0x5f8e38
e54bffce-5ace-11e9-b732-001d054d25e2,2019-11-07T18-12-13.608-0500,-63,0x5f8e38
3c0c5940-6519-11e9-b937-001d054d25e2,2019-11-07T18-12-13.811-0500,-63,0x5f8e3a
3c0c5940-6519-11e9-b937-001d054d25e2,2019-11-07T18-12-13.811-0500,-65,0x5f8e3d
f50d776c-5ace-11e9-ba0b-001d054d25e2,2019-11-07T18-12-14.153-0500,-63,0x5f8da0
f50d776c-5ace-11e9-ba0b-001d054d25e2,2019-11-07T18-12-14.153-0500,-64,0x5f8d4e
f50d776c-5ace-11e9-ba0b-001d054d25e2,2019-11-07T18-12-14.153-0500,-65,0x5f8d53
f50d776c-5ace-11e9-ba0b-001d054d25e2,2019-11-07T18-12-14.153-0500,-65,0x5f8d4d
f50d776c-5ace-11e9-ba0b-001d054d25e2,2019-11-07T18-12-14.153-0500,-65,0x5f8d52
f50d776c-5ace-11e9-ba0b-001d054d25e2,2019-11-07T18-12-14.153-0500,-62,0x5f8d4f
f50d776c-5ace-11e9-ba0b-001d054d25e2,2019-11-07T18-12-14.153-0500,-64,0x5f8d51
f50d776c-5ace-11e9-ba0b-001d054d25e2,2019-11-07T18-12-14.153-0500,-61,0x5f8d50
f50d776c-5ace-11e9-ba0b-001d054d25e2,2019-11-07T18-12-14.153-0500,-65,0x5f8d9d
f50d776c-5ace-11e9-ba0b-001d054d25e2,2019-11-07T18-12-14.153-0500,-63,0x5f8d56
f50d776c-5ace-11e9-ba0b-001d054d25e2,2019-11-07T18-12-14.153-0500,-64,0x5f8d48
0b3312e6-5ace-11e9-a5b3-001d054d25e2,2019-11-07T18-12-14.755-0500,-62,0x5f8d4d
0b3312e6-5ace-11e9-a5b3-001d054d25e2,2019-11-07T18-12-14.755-0500,-63,0x5f8d9e
0b3312e6-5ace-11e9-a5b3-001d054d25e2,2019-11-07T18-12-14.755-0500,-61,0x5f8d52
0b3312e6-5ace-11e9-a5b3-001d054d25e2,2019-11-07T18-12-14.755-0500,-61,0x5f8d55
0b3312e6-5ace-11e9-a5b3-001d054d25e2,2019-11-07T18-12-14.755-0500,-62,0x5f8d4a
0b3312e6-5ace-11e9-a5b3-001d054d25e2,2019-11-07T18-12-14.755-0500,-59,0x5f8d9d
0b3312e6-5ace-11e9-a5b3-001d054d25e2,2019-11-07T18-12-14.755-0500,-60,0x5f8d49
28bf8cde-5ad0-11e9-9334-001d054d25e2,2019-11-07T18-12-14.872-0500,-59,0x5f8e3e
28bf8cde-5ad0-11e9-9334-001d054d25e2,2019-11-07T18-12-14.872-0500,-61,0x5f8e3d
28bf8cde-5ad0-11e9-9334-001d054d25e2,2019-11-07T18-12-14.872-0500,-64,0x5f8e41
28bf8cde-5ad0-11e9-9334-001d054d25e2,2019-11-07T18-12-14.872-0500,-56,0x5f8e40
28bf8cde-5ad0-11e9-9334-001d054d25e2,2019-11-07T18-12-14.872-0500,-54,0x5f8e3f
494e2566-5ace-11e9-a61c-001d054d25e2,2019-11-07T18-12-15.041-0500,-65,0x5f8d4a
0759ef08-5ad0-11e9-aa8e-001d054d25e2,2019-11-07T18-12-15.545-0500,-63,0x5f8d4f
0759ef08-5ad0-11e9-aa8e-001d054d25e2,2019-11-07T18-12-15.545-0500,-61,0x5f8d56
5b5a9762-6519-11e9-a04b-001d054d25e2,2019-11-07T18-12-16.425-0500,-62,0x5f8e3b
5b5a9762-6519-11e9-a04b-001d054d25e2,2019-11-07T18-12-16.425-0500,-61,0x5f8e3a
5b5a9762-6519-11e9-a04b-001d054d25e2,2019-11-07T18-12-16.425-0500,-63,0x5f8e39
fdc58228-5ace-11e9-9e21-001d054d25e2,2019-11-07T18-12-16.640-0500,-65,0x5f8d52
